task_id,graph_family,cost,score,valid_train,valid_arcgen_sample,model_sha256,compressed_size,uncompressed_size
117,compact artifact selection,17683,15.219640994945,True,True,8d89ae1b037b2645574410d06a62b820e302a7faf01fccd013aa9b6701cca242,1635,7552
118,compact artifact selection,80245,13.707160266245,True,True,8dd59a69a78f3892f9f040e1616f5c0330d12c611e312d88edb4dcf738eb0728,1224,3622
119,compact artifact selection,15191,15.371541573792,True,True,b6acdf09dd483316146c8098c4b3e06087093c718d2146aeaa2156d19103d727,3001,12706
120,compact artifact selection,910,18.186555400489,True,True,13dafeb021b56dac928f38d32b4a0b841fcf481296ab752c9ac203fa425e1acc,1100,3836
121,compact artifact selection,6530,16.215837777730,True,True,03880dc2a72d6781722a53ffad4b506867ebd9f9c0a7faae3760807eabe67856,1037,3339
122,compact artifact selection,2510,17.171961967874,True,True,d932a3ac54fb54cc09d9cdbaab21ba4e9165ed9a6a8e01b9e0c49fb972269b75,9574,10236
123,compact artifact selection,4103,16.680526307558,True,True,279e30eeb7542dbd370e4d30d925cfe5037c79fe1013ddd68533c0612f2dd122,786,9379
124,compact artifact selection,9357,15.856119994724,True,True,9fb41aacb68b70261a5ab3e09039a495df0aa95082b8324fc9cc3ed22ddd2768,903,2797
125,compact artifact selection,13416,15.495796696497,True,True,6de7e9bc3627a673cfcc21fae47c3975d84f2be82b97a1f3e72653fb14ecbc96,859,3012
126,optimizer and simplifier passes,55325,14.079019835081,True,True,e8e76f38909c91e785b7d49ebe443e5e57c57eb2dac8b145cd54b634c6afbf41,800,2118
127,compact artifact selection,900,18.197605236676,True,True,81f551a5b779e861ce371fdc4697595db753242954a60c50a3ac8e3108937d97,172,3772
128,compact artifact selection,20863,15.054267465870,True,True,5bb88cabf48a6b619a098d5190dc887cc22e10ed581480e239c1fe3e99ce27ca,893,3556
129,compact artifact selection,466,18.855814365874,True,True,4eb491f45500ca4b68de42d36c3b2bca207e22e1be1eff7f54ea031d26ef8530,321,606
130,optimizer and simplifier passes,3787,16.760670572098,True,True,0f34014220a27e0791ee42da06ff693f36c6c11199a40e3aae9aa9942d86c841,368,605
131,typed tail and graph surgery,35886,14.511897473727,True,True,f43858db1e16735eb7699c2e4625e4888166264b276b9e5b4dc37d67707f7e9b,1861,7292
132,compact artifact selection,28558,14.740307614010,True,True,4e9bf0fb67b4a29b36cc31d9401683bebb8ea846626509c5384a95b1145b7152,991,2472
133,optimizer and simplifier passes,141612,13.139153797586,True,True,50867ddf1ff315ac38201fc3e0d59bf36519d3c31b7d048a4c1ab3edb8b5bcc3,7270,38946
134,typed tail and graph surgery,12380,15.576162453761,True,True,ebac6df9c67e6a5994d4bba6812140b061485cbcecda2d2573a8d88fc9e1ac49,1960,7045
135,compact artifact selection,360,19.113895968550,True,True,a6eca6896b1dbbcd1bf944fb6c9538e2c5fc2cf15786dac3b683be3574fcd543,186,251
136,compact artifact selection,4836,16.516156788265,True,True,3034cc00b57cebd3f428b9a03cc040332b2aa5f9ea0744b2ee359b54bd1083f5,754,2827
137,compact artifact selection,58014,14.031560360288,True,True,a99f6dff45e93a8bb0229f987ff1aaa58a58290f85d66b4497898e2b8b56aeca,788,2684
138,typed tail and graph surgery,38895,14.431379013359,True,True,108f861bf38fc17de7eeba0a4b0b6ba967ead08a9d67f59884e149f3ee2c1cff,1811,5476
139,compact artifact selection,3630,16.803012072741,True,True,e3e6133e136fc342560390d22bb08861dc290ef6c9f64e8854070984d4a5946f,950,3865
140,compact artifact selection,368,19.091917061831,True,True,35298d837506c049f25a80c79e44804bf5b76de02a18f7c2e3bf35a0e4b535c9,235,394
141,compact artifact selection,7757,16.043649059509,True,True,494507940cd593a705cbb9e439ef6551fdec2cbe7a75682c3df5843034383e4a,730,1874
142,compact artifact selection,1521,17.672876707741,True,True,24231ad80d28ca283d124667ff13ec585852358ca3c68c2a91f3709a710d8139,288,703
143,compact artifact selection,19441,15.124860482979,True,True,545186fc1e5605ade4d666e87702a09678e9c34c1449945e1a0fdef567cea868,860,2144
144,compact artifact selection,401,19.006038572693,True,True,b53c52ef634e428ada11864e9daaa09317d91a874e0fc6728e12967bc0a4ea81,453,1016
145,compact artifact selection,60157,13.995286909641,True,True,ba214c08d94449e285c0d633299c4fb31e761aaa3404c7ce74c7aaeb242b4a3f,4188,27793
146,compact artifact selection,2256,17.278651387382,True,True,773d61ca46def6d1e9fdb7916c51a9f5e99a5d39640f394231b2b05a400c4a31,636,1894
