task_id,task_name,source,ok,sha256,points,memory,params,cost,reason
123,task123.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,ca514894ab5c40bdacf0ede13d506b936f227201d686d32974c965361c7d2ffa,17.797338803476762,403,940,1343,ok
124,task124.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,26b8e6ed0bf7af2854fdb0a212b36b36330a4412f71ab683aa5681c557ac0ab7,17.42287806912332,1879,74,1953,ok
125,task125.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,31e9c6926235af578469115777db7fb3aa2812ed0d683f2edc93558bb6d1a52d,16.850109455597575,3434,29,3463,ok
126,task126.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,9237cc39bcc3eebc6e19bed132bb01c0083932c9323f8dd68f8082fe28f2d5d8,18.59477154196916,590,15,605,ok
127,task127.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,False,2421f9f0f87224c60a248e8d2e6577324615aef1a990193582137234da46f320,0.0,,,,"InferenceError: [ShapeInferenceError] Inference error(s): (op_type:ConvTranspose, node name: output): [ShapeInferenceError] Attribute pads must not contain negative values
"
128,task128.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,9aa8aeba983f03c0037fc4a62a8f7a46a43e3056fd22b6998b7f4671fdcf4bf7,18.826213896098064,0,480,480,ok
129,task129.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,0a5f6e5eabed3dbd3b710c59c3dc4379fb147540f4700b58d5165bc519e4e958,20.61797336532612,80,0,80,ok
130,task130.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,aaf291bab4664270ac1030a0f0a0efa703f037c864bb9dea18014975c16b0dc3,21.598802618337846,0,30,30,ok
131,task131.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,893a53134df1d35526ac46d140c58f4b8191d90488572b53e0ccf3f6e4882817,16.709205652618643,3312,675,3987,ok
132,task132.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,a3d16cad87e514fce9cdd02d16c2c9dfde203a6a34e37342e32791c3815c5894,16.613143310311766,3990,399,4389,ok
133,task133.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,5903982a5e2fbc3f578fca0a124ac9eac6d8683ad80ad31ad24d19e241e7cd11,14.578254511880585,32294,1288,33582,ok
134,task134.onnx,kokinnwakashuu/7117-01-lb-override-audit-frank-delta,True,ab1498e225fd58674ace12615eb0d66ec706d8a90653c7d7bdd272501cc2229f,17.25716404456925,2270,35,2305,ok
