task_id,shift_status,shift_reason,dr,dc,base_cost,candidate_cost,candidate_points,validation_status,status,reason
308,skip,no fixed shift,,,21799,,,,not_run,
309,skip,no fixed shift,,,10,,,,not_run,
310,skip,no fixed shift,,,25739,,,,not_run,
311,skip,no fixed shift,,,30,,,,not_run,
312,skip,no fixed shift,,,9979,,,,not_run,
313,skip,no fixed shift,,,83572,,,,not_run,
314,skip,no fixed shift,,,8594,,,,not_run,
315,skip,no fixed shift,,,9557,,,,not_run,
316,skip,no fixed shift,,,3903,,,,not_run,
317,skip,no fixed shift,,,900,,,,not_run,
318,skip,no fixed shift,,,739,,,,not_run,
319,skip,no fixed shift,,,18368,,,,not_run,
320,skip,no fixed shift,,,5190,,,,not_run,
321,skip,no fixed shift,,,5511,,,,not_run,
322,skip,no fixed shift,,,867,,,,not_run,
323,skip,no fixed shift,,,4533,,,,not_run,
324,skip,no fixed shift,,,48870,,,,not_run,
325,skip,no fixed shift,,,43022,,,,not_run,
326,skip,no fixed shift,,,160,,,,not_run,
327,skip,no fixed shift,,,7548,,,,not_run,
328,skip,no fixed shift,,,68053,,,,not_run,
329,skip,no fixed shift,,,10260,,,,not_run,
330,skip,no fixed shift,,,59024,,,,not_run,
331,skip,no fixed shift,,,910,,,,not_run,
332,skip,no fixed shift,,,8990,,,,not_run,
333,skip,no fixed shift,,,24893,,,,not_run,
334,skip,no fixed shift,,,609,,,,not_run,
335,skip,no fixed shift,,,46249,,,,not_run,
336,skip,no fixed shift,,,6036,,,,not_run,
337,skip,no fixed shift,,,10,,,,not_run,
338,skip,no fixed shift,,,45016,,,,not_run,
339,skip,no fixed shift,,,884,,,,not_run,
340,skip,no fixed shift,,,70342,,,,not_run,
341,skip,no fixed shift,,,18865,,,,not_run,
342,skip,no fixed shift,,,12153,,,,not_run,
343,skip,no fixed shift,,,28656,,,,not_run,
344,skip,no fixed shift,,,2510,,,,not_run,
345,skip,no fixed shift,,,11716,,,,not_run,
346,skip,no fixed shift,,,9178,,,,not_run,
347,skip,no fixed shift,,,1607,,,,not_run,
348,skip,no fixed shift,,,7207,,,,not_run,
349,skip,no fixed shift,,,49481,,,,not_run,
350,skip,no fixed shift,,,19831,,,,not_run,
351,skip,no fixed shift,,,35154,,,,not_run,
352,skip,no fixed shift,,,6626,,,,not_run,
353,skip,no fixed shift,,,5411,,,,not_run,
354,skip,no fixed shift,,,17007,,,,not_run,
355,skip,no fixed shift,,,11795,,,,not_run,
