task_id,mapping_status,mapping_reason,inverse_indices,base_cost,candidate_cost,candidate_points,validation_status,status,reason
177,skip,shape mismatch example 0,,61194,,,,not_run,
178,skip,shape mismatch example 0,,29331,,,,not_run,
179,skip,conflict color 2: 2 vs 1 at example 0,,0,,,,not_run,
180,skip,shape mismatch example 0,,7450,,,,not_run,
181,skip,conflict color 0: 8 vs 0 at example 0,,1194,,,,not_run,
182,skip,conflict color 1: 1 vs 2 at example 0,,47625,,,,not_run,
183,skip,shape mismatch example 0,,24878,,,,not_run,
184,skip,shape mismatch example 0,,38855,,,,not_run,
185,skip,shape mismatch example 0,,59584,,,,not_run,
186,skip,conflict color 0: 2 vs 0 at example 0,,364,,,,not_run,
187,skip,conflict color 0: 3 vs 2 at example 0,,105313,,,,not_run,
188,skip,shape mismatch example 0,,10664,,,,not_run,
189,skip,shape mismatch example 0,,24649,,,,not_run,
190,skip,conflict color 0: 0 vs 3 at example 0,,11204,,,,not_run,
191,skip,conflict color 0: 0 vs 1 at example 0,,73993,,,,not_run,
192,skip,conflict color 8: 0 vs 3 at example 0,,51968,,,,not_run,
193,skip,conflict color 7: 0 vs 7 at example 0,,53661,,,,not_run,
194,skip,shape mismatch example 0,,1800,,,,not_run,
195,skip,shape mismatch example 0,,14229,,,,not_run,
196,skip,conflict color 1: 1 vs 3 at example 0,,32242,,,,not_run,
197,skip,conflict color 0: 0 vs 8 at example 0,,50688,,,,not_run,
198,skip,conflict color 0: 3 vs 4 at example 0,,103821,,,,not_run,
199,skip,conflict color 0: 0 vs 2 at example 0,,16157,,,,not_run,
200,skip,conflict color 0: 0 vs 2 at example 0,,8306,,,,not_run,
201,skip,shape mismatch example 0,,92700,,,,not_run,
202,skip,conflict color 4: 4 vs 0 at example 0,,125720,,,,not_run,
203,skip,conflict color 2: 5 vs 6 at example 1,,88402,,,,not_run,
204,skip,conflict color 0: 0 vs 2 at example 0,,104544,,,,not_run,
205,skip,shape mismatch example 0,,112313,,,,not_run,
206,skip,conflict color 0: 0 vs 2 at example 0,,61387,,,,not_run,
207,skip,shape mismatch example 0,,1875,,,,not_run,
208,skip,conflict color 0: 0 vs 2 at example 0,,92273,,,,not_run,
209,skip,shape mismatch example 0,,67337,,,,not_run,
210,skip,shape mismatch example 0,,30,,,,not_run,
211,skip,shape mismatch example 0,,1800,,,,not_run,
212,skip,conflict color 0: 0 vs 1 at example 0,,9969,,,,not_run,
213,skip,shape mismatch example 0,,50225,,,,not_run,
214,skip,conflict color 0: 4 vs 1 at example 0,,1800,,,,not_run,
215,skip,conflict color 0: 0 vs 8 at example 0,,38094,,,,not_run,
216,skip,shape mismatch example 0,,103572,,,,not_run,
217,skip,conflict color 0: 0 vs 8 at example 0,,17924,,,,not_run,
218,skip,shape mismatch example 0,,23202,,,,not_run,
219,skip,conflict color 0: 0 vs 1 at example 0,,47688,,,,not_run,
220,skip,conflict color 0: 0 vs 4 at example 0,,900,,,,not_run,
221,skip,shape mismatch example 0,,55869,,,,not_run,
222,skip,conflict color 2: 0 vs 2 at example 0,,58035,,,,not_run,
223,skip,shape mismatch example 0,,1800,,,,not_run,
224,skip,conflict color 0: 0 vs 1 at example 0,,45458,,,,not_run,
225,skip,conflict color 0: 8 vs 0 at example 0,,11078,,,,not_run,
226,skip,conflict color 0: 1 vs 0 at example 0,,5559,,,,not_run,
227,skip,shape mismatch example 0,,2927,,,,not_run,
228,skip,conflict color 0: 0 vs 6 at example 0,,25086,,,,not_run,
229,skip,conflict color 1: 5 vs 1 at example 1,,1409,,,,not_run,
230,skip,conflict color 0: 0 vs 1 at example 0,,900,,,,not_run,
231,skip,shape mismatch example 0,,38342,,,,not_run,
232,skip,conflict color 0: 0 vs 5 at example 0,,29497,,,,not_run,
233,skip,shape mismatch example 0,,63540,,,,not_run,
234,skip,conflict color 0: 0 vs 5 at example 0,,81703,,,,not_run,
235,skip,shape mismatch example 0,,1338,,,,not_run,
236,skip,shape mismatch example 0,,643,,,,not_run,
237,skip,conflict color 0: 0 vs 2 at example 0,,14324,,,,not_run,
238,skip,shape mismatch example 0,,64372,,,,not_run,
239,skip,shape mismatch example 0,,94477,,,,not_run,
240,skip,conflict color 0: 0 vs 1 at example 0,,27847,,,,not_run,
241,skip,conflict color 0: 3 vs 0 at example 0,,0,,,,not_run,
242,skip,shape mismatch example 0,,20119,,,,not_run,
243,skip,conflict color 0: 1 vs 0 at example 0,,67878,,,,not_run,
