idx,shape,ok_valid,ok_any,match,rr_valid,cc_valid,rr_any,cc_any,rr_valid_score,rr_any_score,cc_valid_score,cc_any_score
142,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",10,10,10,10
143,29x29,True,True,True,"9,14,19,24","9,14,19,24","9,14,19,24","9,14,19,24",16,16,16,16
144,27x27,True,True,True,"11,15,19,23","11,15,19,23","11,15,19,23","11,15,19,23",16,16,16,16
145,27x27,True,True,True,"11,15,19,23","7,11,15,19","11,15,19,23","7,11,15,19",14,14,14,14
146,29x29,True,True,True,"14,17,20,23","2,5,8,11","14,17,20,23","2,5,8,11",8,8,8,8
147,29x29,True,True,True,"4,9,14,19","9,14,19,24","4,9,14,19","9,14,19,24",14,14,14,14
148,29x29,True,True,True,"14,17,20,23","2,5,8,11","14,17,20,23","2,5,8,11",14,14,14,14
149,27x27,True,True,True,"11,15,19,23","11,15,19,23","11,15,19,23","11,15,19,23",8,8,8,8
150,27x27,True,True,True,"7,11,15,19","3,7,11,15","7,11,15,19","3,7,11,15",12,12,12,12
151,29x29,True,True,True,"14,17,20,23","11,14,17,20","14,17,20,23","11,14,17,20",16,16,16,16
152,29x29,True,True,True,"4,9,14,19","9,14,19,24","4,9,14,19","9,14,19,24",12,12,12,12
153,29x29,True,True,True,"4,9,14,19","9,14,19,24","4,9,14,19","9,14,19,24",14,14,14,14
154,29x29,True,True,True,"2,5,8,11","5,8,11,14","2,5,8,11","5,8,11,14",14,14,14,14
155,27x27,True,True,True,"3,7,11,15","7,11,15,19","3,7,11,15","7,11,15,19",14,14,14,14
156,29x29,True,True,True,"14,17,20,23","2,5,8,11","14,17,20,23","2,5,8,11",15,15,15,15
157,29x29,True,True,True,"4,9,14,19","9,14,19,24","4,9,14,19","9,14,19,24",12,12,12,12
158,29x29,True,True,True,"4,9,14,19","9,14,19,24","4,9,14,19","9,14,19,24",11,11,11,11
159,27x27,True,True,True,"7,11,15,19","11,15,19,23","7,11,15,19","11,15,19,23",12,12,12,12
160,29x29,True,True,True,"17,20,23,26","14,17,20,23","17,20,23,26","14,17,20,23",12,12,12,12
161,29x29,True,True,True,"14,17,20,23","11,14,17,20","14,17,20,23","11,14,17,20",16,16,16,16
162,27x27,True,True,True,"11,15,19,23","11,15,19,23","11,15,19,23","11,15,19,23",14,14,14,14
163,29x29,True,True,True,"9,14,19,24","4,9,14,19","9,14,19,24","4,9,14,19",12,12,12,12
164,29x29,True,True,True,"5,8,11,14","2,5,8,11","5,8,11,14","2,5,8,11",14,14,14,14
165,27x27,True,True,True,"11,15,19,23","3,7,11,15","11,15,19,23","3,7,11,15",11,11,11,11
166,29x29,True,True,True,"17,20,23,26","17,20,23,26","17,20,23,26","17,20,23,26",12,12,12,12
167,29x29,True,True,True,"8,11,14,17","17,20,23,26","8,11,14,17","17,20,23,26",11,11,11,11
168,27x27,True,True,True,"11,15,19,23","11,15,19,23","11,15,19,23","11,15,19,23",13,13,13,13
