task_id,source,template_name,route,cost,points,scaled_points,train_n,test_n,arc_gen_n,total_n,input_shape_count,output_shape_count,min_input_area,max_input_area,min_output_area,max_output_area,max_input_colors,risk_score
168,massimilianoghiotto_6254,,sparse_edit_or_object_completion,20403,15.076562772156251,1508,2,1,262,265,1,1,100,100,100,100,2,0.70403
169,massimilianoghiotto_6254,,sparse_edit_or_object_completion,23629,14.929769949800432,1493,3,1,262,266,1,1,100,100,100,100,2,0.73629
170,massimilianoghiotto_6254,,crop_or_resize,78564,13.728331141770909,1373,3,1,262,266,64,2,441,784,9,16,10,2.23564
171,massimilianoghiotto_6254,,sparse_edit_or_object_completion,910,18.186555400489105,1819,4,1,49,54,49,49,9,81,9,81,1,1.7091
172,massimilianoghiotto_6254,,crop_or_resize,30,21.598802618337846,2160,4,1,262,267,1,1,9,9,18,18,4,0.4503
173,massimilianoghiotto_6254,,sparse_edit_or_object_completion,175243,12.926071138839562,1293,3,1,262,266,160,160,110,625,110,625,7,3.60243
174,massimilianoghiotto_6254,,crop_or_resize,52019,14.140635684557754,1414,3,1,262,266,1,16,100,100,2,12,4,1.72019
175,kojimar_5800_minimal_blend,,sparse_edit_or_object_completion,23859,14.920083216374755,1492,3,1,262,266,1,1,441,441,441,441,10,0.48859
176,massimilianoghiotto_6254,,sparse_edit_or_object_completion,7920,16.022853515191528,1602,3,1,21,25,21,21,15,75,15,75,2,1.7792
177,massimilianoghiotto_6254,,crop_or_resize,61194,13.978195575521427,1398,3,1,261,265,104,25,100,400,16,64,3,2.41194
178,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,crop_or_resize,29279,14.715374185513443,1472,5,1,262,268,85,6,4,60,3,5,5,1.69279
179,massimilianoghiotto_6254,,sparse_edit_or_object_completion,0,25.0,2500,4,1,262,267,1,1,9,9,9,9,3,0.5
180,afr1ste_5689_artifact,,crop_or_resize,7450,16.084030688626395,1608,5,1,262,268,1,1,64,64,16,16,5,0.5245
181,massimilianoghiotto_6254,,sparse_edit_or_object_completion,1194,17.91493570604745,1791,3,1,262,266,1,1,54,54,54,54,3,0.51194
182,exp068_seddik_style_strict_scalarization_seddik_style_scalarize_dedup_prune,seddik_style_scalarize_dedup_prune,sparse_edit_or_object_completion,47619,14.22901287975965,1423,4,1,262,267,1,1,400,400,400,400,4,0.87619
183,massimilianoghiotto_6254,,crop_or_resize,24878,14.87826084223009,1488,3,1,261,265,3,3,36,100,4,36,7,1.89878
