task_id,priority,route,strict_cost,teacher_cost,gain_to_600,gain_to_250,teacher_gain_vs_strict,example_count,same_shape_rate,sparse_edit_rate,only_background_fill_rate,only_deletion_rate,bbox_preserved_rate,changed_count_median,changed_count_min,changed_count_max,shape_pair_count,output_shape_pair_count,dominant_output_shapes,dominant_change_pairs,compiler_lane,lowering_bias,first_probe
69,P0,sparse_edit_or_object_completion,84250,18263,4.9446141929984595,5.820082930352362,1.5289114140225664,264,1.0,1.0,0.0,0.0,0.36363636363636365,20.0,8,48,1,1,"{""(10, 10)"": 264}","{""(8, 2)"": 639, ""(8, 6)"": 591, ""(8, 3)"": 582, ""(8, 7)"": 567, ""(8, 9)"": 513, ""(8, 1)"": 507}",L3_object_move_or_erase,object masks with small Gather/Slice; avoid large ScatterND,component correspondence and role-preserving copy/erase search
275,P0,crop_or_resize,83879,59811,4.940200907935605,5.815669645289507,0.33818569364081696,266,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,4,2,"{""(9, 9)"": 138, ""(16, 16)"": 128}",{},L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
234,P0,sparse_edit_or_object_completion,81703,26619,4.913916344664036,5.7893850820179384,1.1214654743767376,266,1.0,1.0,0.0,0.0,0.0,27.0,5,91,70,70,"{""(20, 16)"": 11, ""(15, 20)"": 7, ""(16, 17)"": 7, ""(18, 16)"": 7, ""(17, 16)"": 7, ""(19, 16)"": 7}","{""(5, 0)"": 664, ""(7, 0)"": 655, ""(8, 0)"": 532, ""(2, 0)"": 528, ""(4, 0)"": 526, ""(0, 5)"": 522}",L3_object_move_or_erase,object masks with small Gather/Slice; avoid large ScatterND,component correspondence and role-preserving copy/erase search
19,P0,crop_or_resize,81346,40026,4.909537285970142,5.785006023324044,0.7091824192487195,267,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,25,25,"{""(12, 8)"": 20, ""(8, 4)"": 15, ""(12, 6)"": 15, ""(6, 8)"": 13, ""(12, 10)"": 13, ""(8, 6)"": 13}",{},L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
9,P0,sparse_edit_or_object_completion,81241,23611,4.908245669609702,5.783714406963604,1.2357073407088865,265,1.0,1.0,1.0,0.0,1.0,24,8,68,5,5,"{""(17, 17)"": 65, ""(23, 23)"": 58, ""(20, 20)"": 50, ""(29, 29)"": 50, ""(26, 26)"": 42}","{""(0, 1)"": 1080, ""(0, 3)"": 952, ""(0, 5)"": 824, ""(0, 7)"": 792, ""(0, 4)"": 780, ""(0, 2)"": 772}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
303,P0,sparse_edit_or_object_completion,80710,52347,4.90168810710227,5.777156844456172,0.4329678542520785,265,1.0,1.0,1.0,0.0,1.0,56,10,156,191,191,"{""(27, 22)"": 4, ""(18, 15)"": 4, ""(15, 21)"": 3, ""(20, 15)"": 3, ""(24, 11)"": 3, ""(29, 20)"": 3}","{""(0, 2)"": 16276}",L2_local_predicate_sparse_fill,small Conv kernels plus one Where; target cost 350-600,3x3/5x5 neighborhood predicate and color-role search
36,P0,crop_or_resize,79962,15912,4.8923771455916345,5.767845882945537,1.6144779802739748,265,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,11,11,"{""(5, 4)"": 38, ""(4, 3)"": 36, ""(5, 3)"": 32, ""(3, 5)"": 30, ""(4, 5)"": 29, ""(5, 5)"": 26}",{},L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
157,P0,sparse_edit_or_object_completion,79930,24780,4.891976875403916,5.767445612757818,1.1711143754369306,265,1.0,1.0,0.0,0.0,0.0,34,18,74,1,1,"{""(10, 15)"": 265}","{""(0, 1)"": 4736, ""(5, 0)"": 4736}",L3_object_move_or_erase,object masks with small Gather/Slice; avoid large ScatterND,component correspondence and role-preserving copy/erase search
264,P0,crop_or_resize,79536,25739,4.887035373118305,5.762504110472207,1.1282023979778675,265,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,9,1,"{""(9, 9)"": 265}",{},L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
170,P0,crop_or_resize,78564,13731,4.874739203012943,5.750207940366845,1.7442575289073403,266,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,87,2,"{""(3, 3)"": 237, ""(4, 4)"": 29}",{},L4_shape_crop_resize,constant or small shape-conditioned Slice/Gather/Pad; reject full-grid bbox GatherND,"shape rule, bbox anchor, fixed output-size crop/resize probe"
