task_id,source,baseline_cost,new_cost,baseline_points,new_points,removed_initializers,baseline_file_bytes,new_file_bytes,status,reason
229,massimilianoghiotto_6254,1409,1409,17.74936448810132,17.74936448810132,0,1695,1695,unchanged,no unused initializers
230,massimilianoghiotto_6254,900,900,18.197605236675688,18.197605236675688,0,3803,3803,unchanged,no unused initializers
231,afr1ste_5689_artifact,38342,38342,14.445698819920006,14.445698819920006,0,3983,3983,unchanged,no unused initializers
232,massimilianoghiotto_6254,29497,29497,14.707956157758622,14.707956157758622,0,2772,2772,unchanged,no unused initializers
233,kojimar_5800_minimal_blend,63540,63540,13.940575092176493,13.940575092176493,0,40762,40762,unchanged,no unused initializers
234,massimilianoghiotto_6254,81703,81703,13.689154000119816,13.689154000119816,0,4894,4894,unchanged,no unused initializers
235,massimilianoghiotto_6254,1338,1338,17.801068759311825,17.801068759311825,0,3616,3616,unchanged,no unused initializers
236,massimilianoghiotto_6254,643,643,18.53385527576238,18.53385527576238,0,958,958,unchanged,no unused initializers
237,massimilianoghiotto_6254,14324,14324,15.430308268881676,15.430308268881676,0,2499,2499,unchanged,no unused initializers
238,massimilianoghiotto_6254,64372,64372,13.927565965061614,13.927565965061614,0,15947,15947,unchanged,no unused initializers
239,afr1ste_5689_artifact,94477,94477,13.54388830238479,13.54388830238479,0,3677,3677,unchanged,no unused initializers
240,massimilianoghiotto_6254,27847,27847,14.765519480374964,14.765519480374964,0,66199,66199,unchanged,no unused initializers
241,massimilianoghiotto_6254,0,0,25.0,25.0,0,178,178,unchanged,no unused initializers
242,massimilianoghiotto_6254,20119,20119,15.090580078810763,15.090580078810763,0,2028,2028,unchanged,no unused initializers
243,franksunp_blended_best,67878,67878,13.874532744845478,13.874532744845478,0,18595,18595,unchanged,no unused initializers
